
Palette: 0
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
batsPerActiveSwarmRoom: 7
overseersSpawnChance: 0.8
overseersMin: 0
overseersMax: 4
playerGuideOverseerSpawnChance: 1.0
earlyCycleChance: 0.02
earlyCycleFloodChance: 0.33
pupSpawnChance: 0.15
Room Setting Templates: Outside, Inside
Subregion: Outskirts
Room_Attr: GATE_SU_HI: Vulture-Forbidden,KingVulture-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: GATE_LF_SU: Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: SU_B13: Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A33: Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_B04: GreenLizard-Like,PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,BlackLizard-Like,YellowLizard-Like,RedLizard-Like,Salamander-Like,Vulture-Avoid,KingVulture-Avoid,DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_A34: GreenLizard-Like,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A37: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_S04: PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,
Room_Attr: SU_A63: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,KingVulture-Forbidden,DropBug-Avoid,
Room_Attr: SU_B12: GreenLizard-Like,PinkLizard-Avoid,BlueLizard-Like,WhiteLizard-Like,BlackLizard-Like,YellowLizard-Like,RedLizard-Like,Salamander-Like,DropBug-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_A17: Vulture-Forbidden,KingVulture-Forbidden,DropBug-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_A40: GreenLizard-Like,BlueLizard-Like,WhiteLizard-Like,BlackLizard-Like,YellowLizard-Like,RedLizard-Like,Salamander-Like,Vulture-Forbidden,KingVulture-Forbidden,DropBug-Avoid,
Room_Attr: SU_B07: GreenLizard-Like,PinkLizard-Avoid,BlueLizard-Like,WhiteLizard-Like,BlackLizard-Like,YellowLizard-Like,RedLizard-Like,Salamander-Like,DropBug-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_A02: PinkLizard-Avoid,Vulture-Avoid,KingVulture-Avoid,DropBug-Avoid,
Room_Attr: SU_A53: GreenLizard-Avoid,PinkLizard-Avoid,Vulture-Avoid,KingVulture-Avoid,
