GATE_SU_DS: -699><573><-514><346><2><
GATE_SU_HI: 558.12><1052.92><324.08><663.944><1><
GATE_LF_SU: -2301><552><-1582><330><1><
SU_B13: 375.468><968.886><202.312><567.924><1><Outskirts
SU_A33: 375.468><715.386><202.312><436.924><1><Outskirts
SU_B04: 705.468><622.386><364.312><376.924><1><Outskirts
SU_A34: -810><126><-588><46><1><Outskirts
SU_A37: 57><240><-16><122><1><Outskirts
SU_S04: -417><66><-326><6><1><
SU_A63: -411><447><-324><262><1><Outskirts
SU_B12: 1158><630><662><382><1><Outskirts
SU_A17: 1515><468><956><272><1><Outskirts
SU_A40: 1818><333><1162><186><0><Outskirts
SU_B07: 1332><180><784><84><0><Outskirts
SU_A02: -207><432><-192><250><0><Outskirts
SU_A53: 894><198><546><94><0><Outskirts
SU_A39: 732><402><434><228><0><Outskirts
SU_A38: -1005><-21><-724><-52><0><Outskirts
SU_A25: 249><285><112><152><0><
SU_A24: 729><18><432><-26><0><
SU_A23: -1416><96><-998><26><0><
SU_A22: 501><-66><286><-82><0><
SU_A41: -396><-54><-318><-74><1><
SU_A42: -564><-12><-424><-46><1><
SU_A43: 3><405><-46><232><1><
SU_A44: -906><-135><-652><-128><2><
SU_S01: -1473><411><-1030><236><0><
SU_A06: -708><246><-526><126><0><Outskirts
SU_A36: -822><-6><-602><-42><0><Outskirts
SU_B08: -426><312><-388><170><0><Outskirts
SU_B09: -120><678><-132><374><0><Outskirts
SU_A35: 75><612><-4><370><1><Outskirts
SU_A20: 159><828><52><514><1><Outskirts
SU_A31: -357><642><-286><390><1><Outskirts
SU_A32: 462><150><260><62><1><Outskirts
SU_B05: -1200><12><-854><-70><1><Outskirts
SU_A07: -1446><591><-1018><356><1><Outskirts
SU_A45: -2130.86><535.815><-1468.58><319.21><1><
SU_C02: -1790.54><533.886><-1345.69><317.924><1><Outskirts
SU_B06: -1080><435><-770><212><1><Outskirts
SU_B11: -1005><243><-774><124><1><Outskirts
SU_A12: -792><807><-582><502><1><Outskirts
SU_A13: -525><777><-404><480><1><Outskirts
SU_B02: -1296><375><-920><172><1><Outskirts
SU_A29: -159><882><-160><550><1><Outskirts
SU_B10: 60><21><-8><-64><2><Outskirts
SU_A10: -156><279><-158><148><2><Outskirts
SU_B01: -809.532><-391.615><-593.688><-339.076><2><Outskirts
SU_S03: -507><192><-386><90><2><
SU_A04: -144><-45><-150><-68><2><Outskirts
SU_C01: -897><558><-646><260><2><Outskirts
SU_B14: -519.09><-355.674><-766.056><-502.196><2><
SU_A30: -1072.03><-505.614><-762.688><-375.076><2><Outskirts
GATE_OE_SU: -810><411><-588><238><0><
SU_B14SAINT: -996.084><-696.294><-766.056><-502.196><2><
SU_CAVE01: 48><-384><-16><-294><0><
SU_CAVE02: -47.3286><-495.555><-179.552><-368.37><0><
SU_PUMP03: -386.496><-727.89><-305.664><-677.26><0><
